 Entidade, Qualidade do Ar, Poluição da Água, Lixo plástico mal gerenciado por pessoa (kg por ano), Participação da reciclagem do lixo total regional, Participação da queima do lixo total regional, Participação do lixo descartado e mal gerido do total regional, Participação do lixo encaminhado para aterros do total regional,Participação na emissão global de plásticos para o oceano,Produção Anual de Plástico,Entidade_numerica
United States of America,66.12903226,49.10714286,24.23915307,4.9725046,1.2086724,32.65127,61.167557,0.159782247,2000000,0
United States of America,60.51401869,43.0,17.75899473,5.2274694,1.1975662,32.610554,60.964405,0.589509708,2000000,0
United States of America,36.62162162,61.29943503,6.463917526,5.7400074,1.1752826,32.48097,60.603745,0.000204195,3000000,0
Switzerland,94.31818182,12.5,10.40191152,5.9932656,1.1643187,32.38634,60.456074,0.422376457,4000000,1
Switzerland,83.80952381,10.71428571,0.20894338,6.504815,1.1429298,32.198456,60.153793,0.003267113,5000000,1
United Kingdom,37.04225352,40.71637427,0.635588056,7.001762,1.1201167,31.879993,59.998123,0.0,7000000,2
Egypt,15.830721,74.35064935,6.268108387,7.260716,1.1110171,31.71632,59.91195,2.515677038,8000000,3
Egypt,41.03773585,71.2962963,3.038327526,7.5179963,1.1020877,31.516384,59.863525,0.004594378,9000000,3
United States of America,89.0625,46.15384615,0.19793743,7.769329,1.0941856,31.313433,59.823048,0.003471308,11000000,0
France,34.02439024,43.12169312,15.43846154,8.0173,1.0871824,31.086756,59.80876,0.038184384,13000000,4
United States of America,78.23529412,32.91139241,11.29861876,8.261709,1.0832841,30.869202,59.78581,0.167337446,15000000,0
Canada,65.53468208,37.7994012,16.82853681,8.545544,1.0632468,30.585459,59.805756,0.000612584,17000000,5
Brazil,24.05660377,73.71794872,15.62046908,8.805076,1.0594409,30.192081,59.943398,3.859175176,20000000,6
Poland,33.07692308,50.42372881,15.01152423,3.8260822,10.439383,36.90847,48.82608,0.113634275,35000000,7
Poland,27.27272727,36.01485149,0.630483013,4.3347645,11.516974,36.843292,47.304955,0.024299153,44000000,7
Italy,39.0625,50.0,6.487272727,4.5875983,12.036433,36.779625,46.59634,0.0,51000000,8
Canada,70.76023392,36.96319018,1.697570472,5.3303037,13.520215,36.482292,44.6672,0.044003929,59000000,5
United Kingdom,69.82758621,30.55555556,69.51586369,5.5731425,13.991865,36.3509,44.084095,0.0,64000000,2
Germany,60.71428571,27.77777778,12.13361829,5.789884,14.406246,36.239586,43.564274,0.069017763,71000000,9
North Macedonia,10.19417476,45.26315789,1.139263074,6.0158916,14.830825,36.098736,43.054558,0.045943777,70000000,10
Poland,49.41860465,48.61111111,11.33934751,6.2616835,15.259308,35.94254,42.536484,0.488433399,72000000,7
Poland,41.37931034,53.75,4.247941889,6.5045176,15.73903,35.716637,42.03982,0.022869791,73000000,7
Slovenia,72.16494845,17.58241758,0.698081735,6.731505,16.145636,35.53132,41.591534,0.000306292,80000000,11
Bulgaria,31.41025641,36.29032258,15.78193592,6.9581046,16.596796,35.301987,41.14312,0.042880859,86000000,12
Bulgaria,23.62132353,40.94339623,0.067567568,7.181574,16.968782,35.11712,40.732525,0.000918876,90000000,12
Italy,24.39759036,39.49044586,10.56365503,7.4340367,17.335096,34.900837,40.330025,0.000408389,96000000,8
Italy,58.87096774,29.0,15.02777778,7.6610985,17.633564,34.71078,39.994568,0.005411156,104000000,8
Poland,28.84615385,40.44117647,18.06667287,7.887815,17.935818,34.513863,39.662506,0.640762544,110000000,7
Germany,82.8125,22.5,14.29961748,4.7811875,8.821573,60.803017,25.594213,0.115982513,124000000,9
Poland,27.77777778,48.33333333,3.361171367,5.210237,9.609698,59.054733,26.125332,0.252282385,132000000,7
Portugal,64.60674157,24.85632184,6.934365782,5.6417065,10.40487,57.293118,26.660315,0.082494604,137000000,13
Poland,37.5,47.05882353,24.0457535,6.0726414,11.204407,55.523457,27.199492,0.041349399,151000000,7
United Arab Emirates,48.87387387,39.84615385,0.452488688,6.505385,12.010195,53.741825,27.742598,0.00490067,156000000,14
Italy,29.16666667,50.0,1.580226046,6.9324255,12.820913,51.95479,28.291878,0.001225167,168000000,8
Italy,36.25,67.85714286,0.473788865,7.7904778,14.462739,48.343662,29.40313,0.037265508,188000000,8
Germany,80.0,0.0,0.076807606,9.926934,18.663284,39.13956,32.27022,0.042982956,241000000,9
United States of America,85.0,70.0,0.606774669,10.358366,19.526173,37.258137,32.857323,0.000306292,256000000,0
Poland,34.52380952,52.94117647,17.09520679,10.742684,20.402584,35.385983,33.468746,0.013681036,263000000,7
Poland,30.0,100.0,0.430249212,11.2197,21.266891,33.464287,34.049118,0.427277127,280000000,7
Switzerland,78.26086957,17.5,12.11607143,11.647163,22.14718,31.551327,34.65433,0.022053013,295000000,1
Russia,0.0,75.0,0.405,12.039128,23.042185,29.63854,35.280148,0.013272647,281000000,15
Russia,36.48648649,54.05405405,17.68972186,12.489243,23.932241,27.691025,35.887497,0.000408389,288000000,15
Russia,27.90697674,58.33333333,11.58852087,12.801141,23.762764,27.052067,36.384026,0.729178791,313000000,15
Russia,48.4375,51.5625,10.65330557,4.4350724,14.542094,12.974696,68.048134,0.239622322,325000000,15
Russia,16.17647059,48.52941176,35.20434227,4.8575726,15.765712,12.603666,66.773056,0.025218029,338000000,15
Russia,41.25,58.33333333,21.12829619,5.2840734,17.00034,12.228789,65.48679,0.127213214,352000000,15
Russia,16.66666667,70.3125,14.97999179,5.7134585,18.240551,11.851512,64.19448,0.70743207,367000000,15
Russia,20.83333333,68.18181818,0.777434104,6.1474333,19.489176,11.470602,62.892788,0.24870898,381000000,15
Russia,21.66666667,59.375,0.445427729,6.5762663,20.743938,11.087446,61.592346,0.011434896,400050000,15
Russia,44.44444444,50.0,9.509608,7.005127,22.009491,10.700763,60.284615,0.0,420052500,15
Russia,6.617647059,49.21875,3.045657286,7.4335413,23.282541,10.311633,58.972286,12.91663349,441055140,15
